feature,region,region_rows,known_rows,known_share,mean_when_known,share_of_known_rows,baseline_region_share,representation_ratio
accessibility,CA,12308,439,0.03566785830354241,0.598633257403189,0.1740681998413957,0.1785890478539714,0.9746857488356605
accessibility,NY,16871,614,0.03639381186651651,0.6757328990228013,0.24345757335448057,0.24479816593633014,0.9945236820842921
accessibility,Other states,39739,1469,0.036966204484259794,0.6817562968005446,0.5824742268041238,0.5766127862096985,1.0101652976392612
atmosphere_sentiment,CA,12308,1082,0.08791030224244394,0.956746765249538,0.1425372151231722,0.1785890478539714,0.7981296548471547
atmosphere_sentiment,NY,16871,1929,0.11433821350245985,0.955883877656817,0.2541167171650639,0.24479816593633014,1.0380662624374295
atmosphere_sentiment,Other states,39739,4580,0.11525201942675961,0.9616703056768561,0.6033460677117639,0.5766127862096985,1.046362623482205
authenticity,CA,12308,4863,0.395108872278193,0.9535163479333746,0.18986452192246125,0.1785890478539714,1.063136425239859
authenticity,NY,16871,6748,0.39997629067630847,0.9485625370480143,0.2634599617381798,0.24479816593633014,1.076233397135432
authenticity,Other states,39739,14002,0.35234907773220264,0.9450542779602915,0.546675516339359,0.5766127862096985,0.9480808081500778
business,CA,12308,109,0.008856028599285018,0.5522935779816514,0.21165048543689322,0.1785890478539714,1.1851257844767473
business,NY,16871,97,0.005749510995198862,0.545360824742268,0.1883495145631068,0.24479816593633014,0.7694073762468256
business,Other states,39739,309,0.007775736681849065,0.5961165048543688,0.6,0.5766127862096985,1.040559651727522
cleanliness,CA,12308,1756,0.14267143321416964,0.7915717539863326,0.1668567084758647,0.1785890478539714,0.9343053814380601
cleanliness,NY,16871,2728,0.1616975875763144,0.7545454545454544,0.25921702774610417,0.24479816593633014,1.058901020580049
cleanliness,Other states,39739,6040,0.1519917461435869,0.7824172185430464,0.5739262637780311,0.5766127862096985,0.9953408552569101
consistency,CA,12308,1968,0.159896002599935,0.7777693089430895,0.16458978004516184,0.1785890478539714,0.9216118346727707
consistency,NY,16871,3112,0.1844585383201944,0.7383515424164524,0.26026595299824373,0.24479816593633014,1.0631858780589747
consistency,Other states,39739,6877,0.17305417851480914,0.7722335320633997,0.5751442669565945,0.5766127862096985,0.9974531968623916
family,CA,12308,862,0.07003574910627235,0.888399071925754,0.18426678067550234,0.1785890478539714,1.031792166931611
family,NY,16871,1094,0.06484500029636654,0.9008226691042047,0.23386062419837536,0.24479816593633014,0.955320164691105
family,Other states,39739,2722,0.06849694255013966,0.8881520940484938,0.5818725951261223,0.5766127862096985,1.0091219082237122
food_sentiment,CA,12308,6166,0.5009749756256093,0.9319818358741486,0.1797929727365505,0.1785890478539714,1.006741314190574
food_sentiment,NY,16871,9017,0.5344674293165788,0.9108757532069057,0.2629246245808427,0.24479816593633014,1.0740465459583022
food_sentiment,Other states,39739,19112,0.4809381212410982,0.9209833263569136,0.5572824026826068,0.5766127862096985,0.9664759714154834
formality,CA,12308,1640,0.13324666883327918,0.4371341463414634,0.1660759493670886,0.1785890478539714,0.9299335617875376
formality,NY,16871,2266,0.13431331871258373,0.43565754633715803,0.22946835443037975,0.24479816593633014,0.9373777518008957
formality,Other states,39739,5969,0.15020508820050832,0.4770313285307422,0.6044556962025317,0.5766127862096985,1.0482870145420389
group,CA,12308,726,0.05898602534936626,0.8491735537190083,0.18487394957983194,0.1785890478539714,1.0351919773434235
group,NY,16871,925,0.054827811036690176,0.8744864864864864,0.23554876496052968,0.24479816593633014,0.9622162162023463
group,Other states,39739,2276,0.05727371096404036,0.8661687170474517,0.5795772854596384,0.5766127862096985,1.0051412305117733
