feature,rows,known_rows,known_share,mean_when_known,std_when_known,p05_when_known,median_when_known,p95_when_known,zero_share_when_known,half_share_when_known,one_share_when_known
sweetness,68918,6896,0.10006094198903044,0.6201638631090487,0.2926495489432563,0.0,0.6,1.0,0.10991879350348027,0.267546403712297,0.22447795823665892
offers_gluten_free,68918,5686,0.08250384514930788,0.5800562785789658,0.40227112111069796,0.0,0.5,1.0,0.2623988744284207,0.28877945831867746,0.39500527611677805
order_accuracy,68918,4706,0.0682840477088714,0.42434126646833825,0.30949178729489185,0.0,0.5,1.0,0.28771780705482364,0.35104122396940074,0.07819804504887377
family,68918,4678,0.0678777677820018,0.8911607524583156,0.1948294633828318,0.5,1.0,1.0,0.01966652415562206,0.051517742625053445,0.6586147926464301
outdoor,68918,4592,0.06662990800661656,0.8438371080139373,0.27877840926396696,0.0,1.0,1.0,0.06968641114982578,0.07687282229965157,0.6461236933797909
transit,68918,4361,0.06327809860994225,0.6310249942673699,0.362215506292865,0.0,0.6,1.0,0.18252694336161432,0.27998165558358173,0.37032790644347624
group,68918,3927,0.05698075974346325,0.8649859943977591,0.20219476736678266,0.5,1.0,1.0,0.01858925388337153,0.05551311433664375,0.6040234275528393
healthiness,68918,3000,0.04352999216460141,0.8163999999999999,0.238848046806237,0.5,0.9,1.0,0.030333333333333334,0.113,0.4796666666666667
novelty,68918,2716,0.039409152906352475,0.8898748159057436,0.17373224825506586,0.5,1.0,1.0,0.008836524300441826,0.05743740795287187,0.6152430044182622
red_meat,68918,2660,0.03859659305261325,0.6840037593984962,0.3749197532103045,0.0,0.8,1.0,0.18345864661654135,0.1424812030075188,0.44661654135338347
accessibility,68918,2522,0.03659421341304159,0.6658207771609833,0.36725001130262175,0.0,0.8,1.0,0.17684377478191912,0.22997620935765264,0.41871530531324347
parking,68918,2495,0.03620244348356017,0.6272211088844356,0.34089319529120454,0.0,0.6,1.0,0.1466933867735471,0.31422845691382767,0.34188376753507016
review_disagreement,68918,1717,0.024913665515540206,0.6544263249854397,0.312003787790526,0.0,0.5,1.0,0.1019219569015725,0.40419336051252186,0.35585323238206173
local_independent,68918,1504,0.021823036071853506,0.969880319148936,0.12826073965542725,0.9,1.0,1.0,0.012632978723404254,0.008643617021276596,0.8863031914893617
seafood,68918,1296,0.01880495661510781,0.6641203703703704,0.41627285121430474,0.0,1.0,1.0,0.24537037037037038,0.09490740740740741,0.5100308641975309
plant_based,68918,769,0.011158187991526161,0.8910273081924578,0.25902483498442436,0.0,1.0,1.0,0.05851755526657997,0.054616384915474644,0.7841352405721717
poultry,68918,587,0.008517368466873676,0.9821124361158433,0.07275866624685394,0.9,1.0,1.0,0.0017035775127768314,0.005110732538330494,0.9080068143100511
business,68918,515,0.0074726486549232425,0.5772815533980582,0.3561144456413829,0.0,0.5,1.0,0.20194174757281552,0.34757281553398056,0.29514563106796116
reservation,68918,300,0.004352999216460141,0.6523333333333333,0.4306344649043243,0.0,1.0,1.0,0.2733333333333333,0.08333333333333333,0.5233333333333333
richness,68918,264,0.003830639310484924,0.9242424242424242,0.10644351730307372,0.7,1.0,1.0,0.0,0.003787878787878788,0.6098484848484849
nightlife,68918,70,0.001015699817174033,0.9814285714285714,0.07669411696890285,0.8450000000000001,1.0,1.0,0.0,0.014285714285714285,0.9285714285714286
