family,old_feature,current_equivalent,status,justification
restaurant_semantic,rating_std,rating_std,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,photo_rate,photo_rate,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,repeat_visitor_rate,repeat_visitor_rate,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,local_guide_pct,local_guide_pct,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,restaurant_age_norm,restaurant_age_norm,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,race_rating_gap,race_rating_gap,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_authenticity_score,llm_authenticity,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_group_friendly,llm_group,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_date_night,llm_romantic,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_family_friendly,llm_family,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_business_dining,llm_business,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_solo_friendly,llm_solo,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_has_bar,llm_audited_has_bar,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_byob,llm_audited_byob,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_outdoor_seating,llm_outdoor,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_parking_available,llm_parking,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_vegan_options,llm_audited_offers_vegan,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_vegetarian_options,llm_audited_offers_vegetarian,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_gluten_free_options,llm_offers_gluten_free,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_halal,llm_offers_halal,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_kosher,llm_offers_kosher,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_takeout_friendly,llm_takeout,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_noise_level_enc,llm_noise,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_wait_time_enc,llm_wait,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_service_speed_enc,llm_service_speed,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_cuisine_american_comfort,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_asian_other,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_bbq_steakhouse,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_bar_pub,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_caf_bakery,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_chinese,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_fast_food_burgers,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_fine_dining,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_indian_south_asian,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_italian_pizza,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_japanese_sushi,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_mediterranean_middle_eastern,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_mexican_latin,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_other,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_sandwiches_deli,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_seafood,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_cuisine_soul_food,base cuisine + audited llm_cuisine27_*,replaced_with_justification,Old closed taxonomy and all-zero argmax produced invalid forced labels.
restaurant_semantic,llm_meal_breakfast,llm_meal_breakfast,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_meal_brunch,llm_meal_brunch,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_meal_lunch,llm_meal_lunch,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_meal_dinner,llm_meal_dinner,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_meal_late_night,llm_meal_late_night,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_semantic,llm_meal_all_day,llm_meal_all_day,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_nlp,spice_level,llm_spice,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_nlp,noise_level,llm_noise,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_nlp,formality,llm_formality,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_nlp,novelty,llm_novelty,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_nlp,family_friendly,llm_family,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_nlp,romantic,llm_romantic,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_nlp,wait_time,llm_wait,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_nlp,value_for_money,llm_value,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_nlp,outdoor_seating,llm_outdoor,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
